Iteration,Time,FloodingRate,Packet_Drop_Rate,Used_Bandwidth,Bandwidth_Saturation,Transmitted_Byte,No_of_Attacker,Detection_Time
1,2018-07-27 23:07:51,0,0,0,0.0,0,0,0
2,2018-07-27 23:07:58,1.1749911408887131e-06,0.0,0.00025067524568683774,0.0025067524568683774,6636.0,2,7.039093
3,2018-07-27 23:08:05,7.197240574449011e-07,0.0,0.00038705341323856354,0.0038705341323856356,9551.0,2,7.039093
4,2018-07-27 23:08:12,7.62021355106799e-07,0.0,3.07567460601584e-05,0.000307567460601584,831.0,4,21.088584
5,2018-07-27 23:08:19,3.812826560870236e-06,0.0,0.6671674451584475,6.671674451584475,15338686.0,6,28.113233
6,2018-07-27 23:08:26,3.8059476882179226e-06,0.0,0.2186522158491504,2.186522158491504,5022564.0,6,28.113233
7,2018-07-27 23:08:33,3.813890228966928e-06,0.0,0.6433854771011718,6.433854771011719,14794870.0,10,42.16256
8,2018-07-27 23:08:40,3.80469406767611e-06,0.0,0.21940198483930967,2.1940198483930966,5044087.0,12,49.197769
9,2018-07-27 23:08:47,3.814697265625e-06,0.0,7.75591010063229e-05,0.0007755910100632291,784.0,14,56.225235
10,2018-07-27 23:08:54,3.805196643387527e-06,0.0,0.7231420974583845,7.231420974583846,16625771.0,18,63.250346
